"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"2707",4190000,161,1859,2,"Red",258.55,"Mur/tegl","Fritt salg","Blokkleilighet",1,"193.2",0,0,0,0,0,0,0,6,"466.0","0.0","466.0","142.0",0,2,2,"55.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-03,"4601/164/666/3","4601","164","666","3",139279301,"Fosswinckels gate 47","fosswinckels gate",47,NA,"H0202","5008","Boligblokker",2307395,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733611.36","-31878.56"
"2712",3425000,7,2013,5,"Red",120.59,"Betong","Fritt salg","Blokkleilighet",1,"2086.7",0,0,0,0,0,0,0,14,"2056.0","0.0","2056.0","693.0",0,1,3,"84.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-05,"4601/87/178/3","4601","87","178","3",300236742,"Apeltunhaugene 195","apeltunhaugene",195,NA,"H0103","5238","Boligblokker",2551405,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6722804.27","-32897.34"
"2724",3290000,1,2019,5,"Red",123.93,"Tre","Fritt salg","Blokkleilighet",1,"1453.2",1,0,0,0,0,0,0,4,"312.0","0.0","312.0","171.0",0,2,1,"78.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-16,"4631/137/817/8","4631","137","817","8",300727358,"Kubbaleitet 67 B","kubbaleitet",67,"A","H0202","5916","Boligblokker",1992627,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6752913.45","-32737.13"
"2727",3e+06,6,2014,6,"Red",129.19,"Tre","Fritt salg","Blokkleilighet",1,"8847.9",1,0,0,0,0,0,0,4,"257.0","0.0","257.0","185.0",0,1,1,"66.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-30,"4624/48/262/30","4624","48","262","30",300351335,"Lekvenmarka 246","lekvenmarka",252,NA,"H0101","5209","Småhus",3408132,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6708433.03","-28771.4"
"2729",2950000,6,2014,6,"Red",129.19,"Tre","Fritt salg","Blokkleilighet",1,"8847.9",1,0,0,0,0,0,0,4,"257.0","0.0","257.0","185.0",0,1,1,"66.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-21,"4624/48/262/29","4624","48","262","29",300351335,"Lekvenmarka 246","lekvenmarka",246,NA,"H0101","5209","Småhus",2140377,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6708433.03","-28771.4"
"2732",3700000,94,1926,1,"Orange",486.29,"Tre","Fritt salg","Blokkleilighet",1,"455.2",0,0,0,0,0,0,0,3,"255.0","0.0","255.0","88.0",0,1,1,"71.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-02,"4601/162/1168/1","4601","162","1168","1",139267141,"Nansens vei 17","nansens vei",17,NA,"H0101","5063","Småhus",2687532,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6731085.75","-30520.43"
"2736",2250000,19,2001,4,"Orange",183.77,"Tre","Fritt salg","Blokkleilighet",1,"625.1",0,0,0,0,0,0,0,4,"378.0","0.0","378.0","13.0",0,1,1,"67.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2020,"2020Q1",2020-03-30,"4624/44/420/1","4624","44","420","1",21708607,"Kvernhusrenen 1 E","kvernhusrenen",1,"E","U0101","5208","Småhus",2280649,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6705982.46","-29834.31"
"2737",4850000,0,2020,5,"Orange",142.55,"Tre","Fritt salg","Frittliggende enebolig",1,"1456.3",0,0,0,0,0,0,0,1,"149.0","0.0","149.0","161.0",0,1,1,"149.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-16,"4627/18/625/NA","4627","18","625","NA",300732425,"Friluftsvegen 43 D","friluftsvegen",43,"D","H0101","5310","Småhus",2234366,"Enebolig","Bolig","Bolig","6742925.97","-42859.34"
"2739",2890000,7,2013,5,"Red",135.25,"Tre","Fritt salg","Rekkehus/kjede",1,"4840.2",1,0,0,0,0,0,0,1,"130.0","0.0","130.0","92.0",0,1,1,"130.0",6,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-02,"4626/27/610/7","4626","27","610","7",300105605,"Valderhaug 24","valderhaug",24,NA,"H0101","5363","Småhus",2531141,"Rekkehus","Bolig","Bolig","6738036.15","-49868.29"
"2741",4400000,48,1972,3,"Yellow",224.45,"Tre","Fritt salg","Frittliggende enebolig",1,"651.8",0,0,0,0,0,0,0,1,"192.0","0.0","192.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-09,"4601/287/519/NA","4601","287","519","NA",139355687,"Eikhaugen 25","eikhaugen",25,NA,"H0101","5262","Småhus",2566833,"Enebolig","Bolig","Bolig","6735175.47","-23422.57"
