"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"93",2700000,30,1991,4,"D","Red",1,171.22,"Betong",1,"Fritt salg","Blokkleilighet",1,"10964.4",1,0,0,0,0,0,31,"3504.0","0.0","3504.0","0.0",0,1,6,"88.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-21,"4601/11/676/6",4601,11,676,"6",9486550,"Nordre Nattlandsfjellet 104 A","nordre nattlandsfjellet",104,"A","H0403","5098","Boligblokker",903653,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729075.64","-29895.8",13,7443421
"95",5700000,25,1996,4,"D","Red",1,230.63,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"195.6",0,0,0,0,0,0,1,"157.0","0.0","157.0","0.0",0,1,1,"157.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-10,"4601/35/470/NA",4601,35,470,"NA",9556575,"SANDSLIBAKKEN 37","sandslibakken",37,NA,"H0101","5253","Småhus",976357,"Rekkehus","Bolig","Bolig","6725338.63","-35825.23",8,4818061
"97",2450000,13,2008,4,"D","Orange",2,202.07,"Tre",4,"Fritt salg","Blokkleilighet",1,"685.1",0,0,0,0,0,0,6,"452.0","0.0","452.0","0.0",0,1,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2021,"2021Q4",2021-10-04,"4627/17/591/2",4627,17,591,"2",300000677,"DJUPEDALEN 30 A","djupedalen",30,"B","H0101","5310","Småhus",1229497,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6741840.72","-41859.98",7,247427
"98",3305000,26,1995,4,"D","Orange",2,219.61,"Tre",4,"Fritt salg","Blokkleilighet",1,"3346.8",1,0,0,0,0,0,2,"194.0","0.0","194.0","0.0",0,1,1,"76.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-02,"4601/34/465/1",4601,34,465,"1",9544003,"Storrinden 109 C","storrinden",109,"D","H0101","5252","Småhus",816242,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6725295.15","-36630.85",8,4816719
"99",3650000,26,1995,4,"D","Orange",2,219.61,"Tre",4,"Fritt salg","Tomannsbolig",1,"3346.8",1,0,0,0,0,0,2,"194.0","0.0","194.0","0.0",0,1,1,"118.0",5,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-01-21,"4601/34/465/9",4601,34,465,"9",9544003,"Storrinden 109 C","storrinden",109,"C","H0101","5252","Småhus",82532,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6725295.15","-36630.85",12,4816720
"104",2540000,16,2005,3,"E","Red",1,197.63,"Betong",1,"Fritt salg","Blokkleilighet",1,"12415.3",1,0,0,0,0,0,34,"2128.0","0.0","2128.0","0.0",0,5,2,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-28,"4601/216/1150/26",4601,216,1150,"26",20787449,"Lønborglien 40","lønborglien",40,NA,"H0305","5039","Boligblokker",923998,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739543.38","-33040.27",5,4830104
"107",2620000,16,2005,3,"E","Red",1,197.63,"Betong",1,"Fritt salg","Blokkleilighet",1,"12415.3",1,0,0,0,0,0,34,"2128.0","0.0","2128.0","0.0",0,1,2,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-03,"4601/216/1150/2",4601,216,1150,"2",20787449,"Lønborglien 40","lønborglien",40,NA,"H0305","5039","Boligblokker",1526072,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6739543.38","-33040.27",4,4830079
"111",2900000,110,1911,2,"F","Red",1,361.26,"Betong",1,"Fritt salg","Blokkleilighet",1,"177.7",0,0,0,0,0,0,7,"423.0","0.0","423.0","0.0",0,1,1,"42.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-01,"4601/167/656/3",4601,167,656,"3",139315340,"Rotthaugsgaten 6","rotthaugsgaten",6,NA,"H0201","5033","Boligblokker",250810,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735513.95","-31822.35",6,4869789
"119",6e+06,10,2011,4,"D","Lightgreen",4,151.51,"Betong",1,"Fritt salg","Blokkleilighet",1,"2115.2",0,0,0,0,0,0,32,"3785.0","0.0","3785.0","1.0",0,4,4,"100.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-01-29,"4601/120/477/32",4601,120,477,"32",25605330,"Vindharpevegen 10","vindharpevegen",8,NA,NA,"5237","Boligblokker",119615,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6724234.39","-34345.0",4,4840708
"124",3090000,91,1930,1,"G","Lightgreen",4,444.36,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"2882.5",1,0,0,0,0,0,32,"2313.0","0.0","2313.0","0.0",0,1,5,"0.0",3,1,1,1,0,"Kjelleretasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-12-14,"4601/168/678/31",4601,168,678,"31",139711904,"Heien 25","heien",25,NA,"H0201","5037","Boligblokker",1568397,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6736145.7","-31467.6",8,4910675
