"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"4414",3600000,130,1892,1,"G",1,437.75,4,"Fritt salg","Annet",1,"76.9",0,0,0,0,0,0,0,2,"199.0","0.0","199.0","0.0",1,1,1,"80.0",3,2,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-04,"4601/167/510/1","4601","167","510","1",139314255,"Ladegårdsgaten 57 B","ladegårdsgaten",57,"B","H0101","5033","Småhus",252384,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735578.66","-31769.96"
"4416",6990000,15,2007,5,"C",3,136.23,4,"Fritt salg","Tomannsbolig",2,"356.5",0,0,0,0,0,0,0,1,"170.0","0.0","170.0","119.0",0,1,1,"171.0",5,3,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-10,"4601/137/585/NA","4601","137","585","NA",23633876,"Drotningsvikveien 64 D","drotningsvikveien",64,"D","H0101","5179","Småhus",272338,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6733054.78","-39714.79"
"4418",6885000,141,1881,1,"G",3,299.16,4,"Fritt salg","Blokkleilighet",1,"359.9",0,0,0,0,0,0,0,3,"281.0","0.0","281.0","0.0",1,1,1,"97.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-12,"4601/164/451/2","4601","164","451","2",139277511,"Olaf Ryes vei 23","olaf ryes vei",23,NA,"H0101","5007","Boligblokker",405349,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6733628.67","-32211.09"
"4420",5200000,64,1958,1,"G",2,360.09,4,"Fritt salg","Frittliggende enebolig",1,"1544.1",0,0,0,0,0,0,0,1,"200.0","0.0","200.0","80.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-02,"4601/216/525/NA","4601","216","525","NA",139703901,"Tyriveien 13","tyriveien",13,NA,"H0101","5104","Småhus",466159,"Enebolig","Bolig","Bolig","6739222.08","-31967.48"
"4422",3115000,11,2011,6,"B",2,125.42,4,"Fritt salg","Blokkleilighet",1,"2942.8",0,0,0,0,0,0,0,4,"329.0","0.0","329.0","233.0",0,1,1,"80.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-04,"4601/183/309/1","4601","183","309","1",300150110,"Skinflorbakkane 18","skinflorbakkane",18,NA,"U0101","5136","Småhus",367571,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6744511.76","-33290.21"
"4430",3700000,102,1920,1,"G",2,329.24,2,"Fritt salg","Blokkleilighet",1,"242.4",0,0,0,0,0,0,0,4,"287.0","0.0","287.0","0.0",0,1,1,"58.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-07,"4601/167/638/2","4601","167","638","2",139315170,"Ladegårdsterrassen 2","ladegårdsterrassen",2,NA,"H0101","5033","Boligblokker",384578,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735674.64","-31753.78"
"4432",5350000,102,1920,1,"G",2,329.24,2,"Fritt salg","Blokkleilighet",1,"242.4",0,0,0,0,0,0,0,4,"287.0","0.0","287.0","0.0",0,3,1,"99.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-04,"4601/167/638/1","4601","167","638","1",139315170,"Ladegårdsterrassen 2","ladegårdsterrassen",2,NA,"H0101","5033","Boligblokker",9936,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735674.64","-31753.78"
"4433",1725000,102,1920,1,"G",2,329.24,2,"Opphør av samboerskap","Blokkleilighet",1,"242.4",0,0,0,0,0,0,0,4,"287.0","0.0","287.0","0.0",0,2,1,"58.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-19,"4601/167/638/3","4601","167","638","3",139315170,"Ladegårdsterrassen 2","ladegårdsterrassen",2,NA,"H0101","5033","Boligblokker",415524,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735674.64","-31753.78"
"4438",6100000,110,1912,1,"G",3,421.6,4,"Fritt salg","Frittliggende enebolig",1,"1526.6",0,0,0,0,0,0,0,1,"175.0","0.0","175.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-01,"4627/7/32/NA","4627","7","32","NA",13600007,"Gamle Kleppestøvegen 23","gamle kleppestøvegen",23,NA,"H0101","5300","Småhus",363335,"Enebolig","Bolig","Bolig","6737158.33","-37081.4"
"4442",3470000,7,2015,4,"D",2,128.06,1,"Fritt salg","Blokkleilighet",1,"2178.5",0,0,0,0,0,0,0,12,"1562.0","0.0","1562.0","684.7",0,2,4,"143.0",4,2,2,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-07,"4630/1/43/1","4630","1","43","1",300435308,"Loftåslia 3","loftåslia",3,NA,"U0204","5281","Boligblokker",1263061,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6746523.53","-23470.1"
