"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"2206",5550000,5,2017,5,"C",1,116.87,1,"Fritt salg","Blokkleilighet",1,"41298.6",1,0,0,0,1,0,0,9,"720.0","0.0","720.0","293.0",0,1,3,"103.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-15,"4601/29/563/56","4601","29","563","56",300360317,"Bjørgelien 17","bjørgelien",17,NA,"H0203","5141","Boligblokker",1032164,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728920.41","-37028.87"
"2210",2730000,97,1925,1,"G",2,399.61,2,"Fritt salg","Blokkleilighet",1,"179.3",0,0,0,0,0,0,0,2,"185.0","0.0","185.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-28,"4601/159/516/1","4601","159","516","1",139225155,"Inndalsveien 89","inndalsveien",89,NA,"H0201","5063","Småhus",1348234,"Rekkehus","Bolig","Bolig","6730998.58","-30942.2"
"2212",3100000,112,1910,2,"F",1,263.53,2,"Fritt salg","Blokkleilighet",1,"123.6",0,0,0,0,0,0,0,6,"451.0","0.0","451.0","0.0",0,2,1,"40.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-15,"4601/168/521/3","4601","168","521","3",139328302,"Ekrebakken 3","ekrebakken",3,NA,"H0201","5036","Boligblokker",891789,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735919.34","-31655.49"
"2215",3270000,15,2007,4,"D",2,176.52,4,"Fritt salg","Tomannsbolig",1,"6265.7",1,0,0,0,0,0,0,2,"155.0","0.0","155.0","0.0",0,1,1,"79.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-19,"4624/44/501/1","4624","44","501","1",21720550,"Halhjemsmarka 199 A","halhjemsmarka",199,"A","H0101","5208","Småhus",661430,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6705778.06","-29946.22"
"2239",2210000,122,1900,1,"G",1,510.14,2,"Fritt salg","Annet",1,"224.7",0,0,0,0,1,0,0,8,"442.0","0.0","442.0","0.0",0,1,1,"42.0",2,1,1,1,0,"Kjelleretasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-13,"4601/167/547/5","4601","167","547","5",139314514,"Jens Rolfsens gate 2 A","nye sandviksveien",47,NA,"L0101","5032","Boligblokker",1017578,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735375.55","-31839.27"
"2240",3150000,122,1900,1,"G",1,510.14,2,"Fritt salg","Blokkleilighet",1,"224.7",0,0,0,0,1,0,0,8,"442.0","0.0","442.0","0.0",0,1,1,"0.0",1,0,0,1,0,"Kjelleretasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-02,"4601/167/547/4","4601","167","547","4",139314514,"Jens Rolfsens gate 2 A","jens rolfsens gate",2,"B","L0101","5032","Boligblokker",592294,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735375.55","-31839.27"
"2244",3150000,122,1900,1,"G",1,510.14,2,"Fritt salg","Blokkleilighet",1,"224.7",0,0,0,0,1,0,0,8,"442.0","0.0","442.0","0.0",0,1,2,"0.0",0,0,0,1,0,"Kjelleretasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-02,"4601/167/547/4","4601","167","547","4",139314514,"Jens Rolfsens gate 2 A","nye sandviksveien",47,NA,"L0101","5032","Boligblokker",592294,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6735375.55","-31839.27"
"2276",3050000,74,1948,3,"E",2,215.5,2,"Fritt salg","Blokkleilighet",1,"386.9",0,0,0,0,0,0,0,5,"389.0","0.0","389.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-18,"4601/160/455/3","4601","160","455","3",139234545,"Nattlandsveien 15","nattlandsveien",15,NA,"H0202","5093","Boligblokker",67850,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6731256.81","-30180.96"
"2279",5600000,67,1955,1,"G",2,427.72,4,"Fritt salg","Tomannsbolig",1,"1110.7",0,0,0,0,0,0,0,2,"287.0","0.0","287.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-04,"4601/216/433/1","4601","216","433","1",139702867,"Granlien 7","granlien",7,NA,"H0201","5105","Småhus",138559,"Tomannsbolig, horisontaldelt","Bolig","Bolig","6739221.72","-32193.55"
"2295",1140000,69,1953,1,"G",3,333.66,4,"Tvangssalg","Frittliggende enebolig",1,"2191.1",0,0,0,0,0,0,0,1,"191.0","0.0","191.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-09-29,"4601/272/26/NA","4601","272","26","NA",139760425,"Risnesvegen 49","risnesvegen",49,NA,NA,"5263","Småhus",1090562,"Enebolig","Bolig","Bolig","6735983.69","-16298.95"
"2296",4750000,124,1898,2,"F",1,255.66,2,"Fritt salg","Blokkleilighet",1,"118.1",0,0,0,0,0,0,0,4,"338.0","0.0","338.0","0.0",1,2,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-07-14,"4601/164/437/2","4601","164","437","2",139709314,"Ole Vigs gate 13","ole vigs gate",13,NA,"H0201","5006","Boligblokker",785045,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733555.83","-32198.82"
"2298",5e+06,124,1898,2,"F",1,255.66,2,"Fritt salg","Blokkleilighet",1,"118.1",0,0,0,0,0,0,0,4,"338.0","0.0","338.0","0.0",1,3,1,"0.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-07-01,"4601/164/437/3","4601","164","437","3",139709314,"Ole Vigs gate 13","ole vigs gate",13,NA,"H0201","5006","Boligblokker",719562,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733555.83","-32198.82"
"2303",2850000,8,2014,4,"D",5,152.38,4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,1,1,"35.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-16,"4601/160/1059/67","4601","160","1059","67",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",897254,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97"
"2305",4150000,8,2014,4,"D",5,152.38,4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,5,5,"74.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-17,"4601/160/1059/96","4601","160","1059","96",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",191225,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97"
"2311",3380000,8,2014,4,"D",5,152.38,4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,2,8,"61.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-03,"4601/160/1059/72","4601","160","1059","72",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",725948,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97"
"2323",3290000,8,2014,4,"D",5,152.38,4,"Fritt salg","Blokkleilighet",1,"5362.1",1,0,0,0,0,0,0,46,"4039.0","0.0","4039.0","890.0",0,4,6,"61.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-10,"4601/160/1059/88","4601","160","1059","88",300355449,"Vilhelm Bjerknes' vei 58 D","vilhelm bjerknes' vei",58,"C","H0101","5081","Boligblokker",33777,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6729043.42","-30771.97"
"2329",3450000,18,2004,3,"E",1,180.52,4,"Fritt salg","Blokkleilighet",1,"4613.5",0,0,0,0,0,0,0,9,"609.0","0.0","609.0","0.0",0,3,1,"74.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-02-02,"4601/159/628/16","4601","159","628","16",20776145,"Kristian Bings vei 33","kristian bings vei",69,NA,"H0101","5073","Boligblokker",130781,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6731020.09","-31733.24"
"2330",3230000,18,2004,3,"E",1,180.52,4,"Fritt salg","Blokkleilighet",1,"4613.5",0,0,0,0,0,0,0,9,"609.0","0.0","609.0","0.0",0,3,1,"55.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-20,"4601/159/628/17","4601","159","628","17",20776145,"Kristian Bings vei 33","kristian bings vei",67,NA,"H0101","5073","Boligblokker",662443,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6731020.09","-31733.24"
"2336",3460000,8,2014,6,"B",1,136.6,4,"Fritt salg","Blokkleilighet",1,"12548.8",1,1,0,0,0,0,0,4,"289.0","0.0","289.0","1.0",0,2,1,"72.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-20,"4601/129/400/23","4601","129","400","23",300095641,"Håkonshellaveien 137 B","håkonshellaveien",137,"C","H0201","5174","Småhus",665053,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6730242.2","-40249.38"
"2338",3050000,92,1930,3,"E",1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-01,"4601/167/559/5","4601","167","559","5",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"C","H0101","5032","Boligblokker",1368821,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2342",1950000,92,1930,3,"E",1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,1,3,"0.0",0,0,0,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-11,"4601/167/559/4","4601","167","559","4",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"E","H0101","5032","Boligblokker",1144302,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2343",2775000,92,1930,3,"E",1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-21,"4601/167/559/10","4601","167","559","10",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"C","H0101","5032","Boligblokker",1452628,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2347",2675000,92,1930,3,"E",1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,3,4,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-16,"4601/167/559/18","4601","167","559","18",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"C","H0101","5032","Boligblokker",653256,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2349",3225000,92,1930,3,"E",1,176.85,1,"Fritt salg","Blokkleilighet",1,"573.2",0,0,0,0,1,0,0,21,"1310.0","0.0","1310.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-21,"4601/167/559/11","4601","167","559","11",139314662,"Nye Sandviksveien 56 C","nye sandviksveien",56,"C","H0101","5032","Boligblokker",1052212,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735368.89","-31886.77"
"2353",2300000,10,2012,4,"D",1,140.15,4,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,0,6,"707.0","0.0","707.0","217.0",0,3,2,"64.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-21,"4626/8/95/36","4626","8","95","36",25473116,"Halsvardtjørna 8 C","halsvardtjørna",8,"C","H0302","5357","Boligblokker",672011,"Terrassehus","Bolig","Bolig","6729600.42","-49188.67"
"2369",4e+06,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,1,3,"51.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-28,"4601/158/856/16","4601","158","856","16",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",453631,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2374",3350000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,4,8,"38.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-06,"4601/158/856/45","4601","158","856","45",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",747058,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2375",3200000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,2,8,"38.0",2,1,1,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-09,"4601/158/856/25","4601","158","856","25",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",868415,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2379",3750000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,1,10,"64.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-05,"4601/158/856/13","4601","158","856","13",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",1382293,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2381",4450000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,4,5,"59.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-16,"4601/158/856/42","4601","158","856","42",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",896400,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2387",3300000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,4,2,"38.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-03,"4601/158/856/39","4601","158","856","39",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",475008,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2391",4390000,10,2012,6,"B",5,102.51,1,"Fritt salg","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,5,5,"64.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-09,"4601/158/856/52","4601","158","856","52",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",1006410,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2392",2650000,10,2012,6,"B",5,102.51,1,"Annet","Blokkleilighet",1,"2393.7",0,0,0,0,0,0,0,50,"3463.0","0.0","3463.0","1.0",0,1,2,"34.0",1,1,1,1,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-27,"4601/158/856/6","4601","158","856","6",25607597,"Michael Krohns gate 69","michael krohns gate",69,NA,"H0305","5057","Boligblokker",566681,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6733064.73","-32385.81"
"2399",5800000,16,2006,5,"C",1,130.16,1,"Fritt salg","Blokkleilighet",1,"1074.1",0,0,0,0,0,0,0,7,"946.0","0.0","946.0","0.0",0,2,3,"95.0",3,1,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-05,"4601/42/383/4","4601","42","383","4",23608219,"Nesttunbrekka 45","nesttunbrekka",45,NA,NA,"5221","Boligblokker",487139,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725443.86","-31728.56"
"2404",4e+06,14,2008,5,"C",1,155.14,1,"Fritt salg","Blokkleilighet",1,"751.7",0,0,0,0,0,0,0,3,"302.0","0.0","302.0","253.0",0,1,1,"75.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-02,"4601/13/893/2","4601","13","893","2",139407695,"Søre Nyhaugåsen 52","søre nyhaugåsen",54,NA,"H0102","5230","Småhus",845739,"Rekkehus","Bolig","Bolig","6729071.29","-31850.02"
"2420",3e+06,16,2006,5,"C",1,121.04,1,"Fritt salg","Blokkleilighet",1,"5367.5",1,0,0,0,0,0,0,18,"1474.0","0.0","1474.0","0.0",0,1,1,"72.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-04,"4601/36/536/19","4601","36","536","19",23617242,"Nordeidbrekka 3D","nordeidbrekka",3,"C",NA,"5252","Boligblokker",478633,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6725777.93","-35808.29"
"2449",4200000,4,2018,6,"B",1,106.82,1,"Fritt salg","Blokkleilighet",1,"3919.2",1,0,0,0,0,0,0,11,"1134.0","0.0","1134.0","490.0",0,2,1,"82.0",3,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-16,"4601/82/225/7","4601","82","225","7",300269924,"Hamrevegen 25 F","hamrevegen",25,"F","H0301","5229","Boligblokker",294461,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6722232.8","-30168.35"
"2455",3490000,4,2018,6,"B",1,106.82,1,"Fritt salg","Blokkleilighet",1,"3919.2",1,0,0,0,0,0,0,11,"1134.0","0.0","1134.0","490.0",0,1,3,"82.0",3,2,2,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-20,"4601/82/225/6","4601","82","225","6",300269924,"Hamrevegen 25 F","hamrevegen",25,"F","H0301","5229","Boligblokker",665308,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6722232.8","-30168.35"
"2476",4625000,29,1993,4,"D",1,192.01,4,"Fritt salg","Blokkleilighet",1,"1716.9",1,0,0,0,0,0,0,4,"448.0","0.0","448.0","187.0",0,1,1,"138.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-21,"4601/37/132/6","4601","37","132","6",9491961,"Skranelia 26 B","skranelia",24,"B","H0101","5252","Småhus",1057589,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6724870.4","-35980.32"
"2483",3130000,132,1890,2,"F",1,264.65,2,"Fritt salg","Blokkleilighet",1,"197.6",0,0,0,0,0,0,0,11,"822.0","0.0","822.0","0.0",1,1,1,"51.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-01,"4601/164/293/1","4601","164","293","1",139276493,"Welhavens gate 62","welhavens gate",62,NA,"H0401","5006","Boligblokker",840682,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6733470.41","-32129.49"
"2511",2150000,119,1903,1,"G",2,424.39,2,"Fritt salg","Blokkleilighet",1,"144.2",0,0,0,0,1,0,0,7,"523.0","0.0","523.0","0.0",0,1,1,"35.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-12,"4601/167/730/2","4601","167","730","2",139315839,"Baglergaten 6","baglergaten",6,NA,"H0401","5032","Boligblokker",1010277,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6735265.01","-31845.3"
"2527",3600000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,1,6,"82.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-22,"4626/35/388/49","4626","35","388","49",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"C","H0309","5353","Boligblokker",676561,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
"2530",3450000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,1,6,"83.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-15,"4626/35/388/33","4626","35","388","33",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"C","H0309","5353","Boligblokker",290730,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
"2540",3130000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,1,8,"74.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-02,"4626/35/388/41","4626","35","388","41",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"D","H0309","5353","Boligblokker",1245602,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
"2542",2630000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,2,4,"52.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-27,"4626/35/388/58","4626","35","388","58",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"D","H0309","5353","Boligblokker",696260,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
"2550",1825000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,3,7,"74.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-04,"4626/35/388/82","4626","35","388","82",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"D","H0309","5353","Boligblokker",365263,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
"2551",2200000,5,2017,6,"B",4,84.24,1,"Fritt salg","Blokkleilighet",1,"12765.7",1,0,0,0,0,0,0,86,"16220.0","0.0","16220.0","2603.0",0,1,5,"57.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-12-27,"4626/35/388/54","4626","35","388","54",300612385,"Straumsfjellvegen 5 D","straumsfjellvegen",5,"D","H0309","5353","Boligblokker",1466139,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6732310.23","-43216.13"
